PARCELA;SUB-PARCELA ;ESTRATO;IND. No.;NOMBRE COMUN;NOMBRE CIENTIFICO;FAMILIA;ALTURA TOTAL (m);ALTURA COMERCIAL  (m);CAP (cm);DAP (m);A.B. TOTAL (m2);V. COMERCIAL (m3);V. TOTAL (m3);DIAM. COPA X (m);DIAM. COPA Y (m);COORDENADA E;COORDENADA N
1r;1;Fustal;1;Reventillo;Mabea trianae Pax;Euphorbiaceae;10;3;40,5;0,13;0,0131;0,0255;0,0848;5;4;962839,5028;912903,277
1r;1;Fustal;2;Cuajo;Guatteria leiocarpa R.E.Fr.;Annonaceae;12;7;45,5;0,14;0,0165;0,0750;0,1285;6;6;962845,6154;912911,7525
1r;1;Fustal;3;Laurel oloroso;Aniba panurensis (Meisn.) Mez;Lauraceae;13;8;37;0,12;0,0109;0,0566;0,0921;6;6;962830,9889;912908,4407
1r;1;Fustal;4;NN 11;Ouratea castaneifolia (DC.) Engl.;Ochnaceae;13;10;37,5;0,12;0,0112;0,0727;0,0946;4;4;962845,6143;912908,988
1r;2;Fustal;5;Palma Araco;Socratea exorrhiza (Mart.) H.Wendl.;Arecaceae;14;9;100;0,32;0,0796;0,4655;0,7242;3;4;962856,1623;912897,9258
1r;2;Fustal;6;Laurel oloroso;Aniba panurensis (Meisn.) Mez;Lauraceae;12;7;105;0,33;0,0877;0,3992;0,6843;5;4;962858,387;912906,0342
1r;2;Fustal;7;Palma Araco;Socratea exorrhiza (Mart.) H.Wendl.;Arecaceae;18;12;67;0,21;0,0357;0,2786;0,4180;5;4;962858,9433;912908,2456
1r;2;Fustal;8;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;12;7;80;0,25;0,0509;0,2317;0,3973;6;6;962866,9063;912914,6931
1r;3;Fustal;9;Carano aniz;Protium heptaphyllum (Aubl.) Marchand;Burseraceae;17;13;92;0,29;0,0674;0,5691;0,7443;12;12;962866,7223;912917,642
1r;3;Fustal;10;Palma cumare;Astrocaryum chambira Burret;Arecaceae;17;9;150;0,48;0,1790;1,0474;1,9785;9;9;962851,3533;912908,9857
1r;3;Fustal;11;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;17;12;71;0,23;0,0401;0,3129;0,4433;12;16;962872,4531;912896,445
1r;4;Fustal;12;Pata e paujil;Matayba cf. guianensis Aubl.;Sapindaceae;10;6;123;0,39;0,1204;0,4695;0,7826;6;6;962870,4219;912909,8999
1r;4;Fustal;13;Laurel oloroso;Aniba panurensis (Meisn.) Mez;Lauraceae;13;8;131;0,42;0,1366;0,7101;1,1540;6;7;962871,4219;912904,8999
1r;4;Fustal;14;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;19;13;54;0,17;0,0232;0,1961;0,2866;16;18;962879,6739;912898,4696
1r;4;Fustal;15;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;12;6;57;0,18;0,0259;0,1008;0,2017;6;6;962879,8624;912907,1317
1r;5;Fustal;16;Pata e paujil;Matayba cf. guianensis Aubl.;Sapindaceae;8;4;126;0,40;0,1263;0,3285;0,6570;8;8;962881,346;912913,766
1r;5;Fustal;17;Pata e paujil;Matayba cf. guianensis Aubl.;Sapindaceae;12;7;36;0,11;0,0103;0,0469;0,0804;8;7;962880,9757;912913,7661
1r;5;Fustal;18;Palma Araco;Socratea exorrhiza (Mart.) H.Wendl.;Arecaceae;14;10;57;0,18;0,0259;0,1681;0,2353;4;4;962882,4565;912913,2126
1r;5;Fustal;19;Tortolo;Schefflera morototoni (Aubl.) Maguire et al.;Araliaceae;19;13;65;0,21;0,0336;0,2841;0,4152;20;18;962884,1225;912912,8434
1r;5;Fustal;20;Cuero e sapo;Pseudolmedia laevis (Ruiz & Pav.) J.F.Macbr.;Moraceae;16;10;53;0,17;0,0224;0,1453;0,2325;12;12;962884,4923;912911,5531
1r;5;Fustal;21;Marfil;Rudgea crassiloba (Benth.) B.L.Rob.;Rubiaceae;12;7;110;0,35;0,0963;0,4381;0,7511;7;8;962884,6775;912911,7374
1r;5;Fustal;22;Palma cucurita;Attalea maripa (Aubl.) Mart.;Arecaceae;11;7;44;0,14;0,0154;0,0701;0,1102;4;4;962884,491;912908,2357
1r;6;Fustal;23;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;15;9;49,5;0,16;0,0195;0,1141;0,1901;8;9;962904,6695;912906,7535
1r;6;Fustal;24;Pata e paujil;Matayba cf. guianensis Aubl.;Sapindaceae;8;4;52,5;0,17;0,0219;0,0570;0,1141;8;7;962903,5595;912908,7812
